HeadlineText;Author;NamedEntitiesClaim;Keywords;Source;RatingName
116;53;52;152;2;1
223;57;23;119;2;1
32;19;88;142;2;1
85;34;100;79;3;0
18;9;109;109;2;1
181;68;131;100;2;1
207;70;122;62;2;0
232;34;67;0;3;1
136;63;157;167;2;0
214;44;105;5;2;1
202;75;48;112;2;1
189;34;171;177;3;0
210;34;123;158;4;1
74;34;68;14;3;1
110;3;185;117;2;0
72;34;230;145;3;0
240;47;163;125;2;1
32;19;88;142;2;1
196;34;80;25;3;1
187;66;187;77;2;0
21;11;1;171;2;0
234;34;178;158;4;0
40;16;242;179;2;1
48;24;142;162;2;0
60;14;156;172;2;0
214;44;105;5;2;1
210;34;123;158;4;1
51;34;124;22;3;1
99;29;147;120;2;0
22;12;13;2;2;1
242;34;155;40;3;1
104;34;183;31;3;0
170;62;236;74;2;1
4;34;198;26;3;1
223;57;23;119;2;1
39;15;110;102;2;0
202;75;48;112;2;1
201;34;91;18;3;0
128;34;31;186;3;0
12;34;85;158;3;1
74;34;68;14;3;1
162;34;104;68;3;0
15;39;212;116;2;1
108;34;118;8;3;0
109;34;77;18;3;1
225;33;208;155;2;1
44;9;89;183;2;1
191;8;19;80;2;1
0;11;172;78;2;0
88;34;10;56;3;0
204;84;173;129;2;0
75;31;151;153;2;0
171;34;211;36;3;1
10;34;42;158;3;0
46;13;74;121;2;0
236;55;169;127;2;0
82;18;138;175;2;1
239;25;73;181;2;1
64;27;92;169;2;0
229;34;119;18;3;0
191;8;19;80;2;1
6;34;108;11;3;0
27;17;18;153;2;1
192;34;16;158;4;1
5;2;219;137;2;0
159;34;179;47;3;0
28;34;65;19;3;0
82;18;138;175;2;1
103;34;192;34;3;0
214;44;105;5;2;1
240;47;163;125;2;1
47;20;226;111;2;0
188;34;204;107;3;0
12;34;85;158;3;1
23;61;2;84;2;1
235;34;72;10;3;1
77;34;153;148;3;0
123;34;238;158;4;0
173;34;29;37;3;1
122;59;130;124;2;0
31;34;223;150;0;0
198;34;32;128;3;0
49;26;227;75;2;1
209;84;111;146;2;0
142;34;195;39;3;0
12;34;85;158;3;1
239;25;73;181;2;1
226;23;37;138;2;0
151;34;214;187;3;1
153;80;145;3;2;1
24;34;86;59;3;0
235;34;72;10;3;1
235;34;72;10;3;1
98;45;231;119;2;0
156;25;95;64;2;0
127;34;154;159;3;0
192;34;16;158;4;1
90;34;207;97;3;0
130;9;46;109;2;1
240;47;163;125;2;1
151;34;214;187;3;1
214;44;105;5;2;1
71;72;20;160;2;0
79;34;149;10;3;0
228;83;152;136;2;1
197;34;102;158;3;0
22;12;13;2;2;1
242;34;155;40;3;1
165;34;128;57;3;1
82;18;138;175;2;1
202;75;48;112;2;1
16;10;60;154;2;0
179;65;170;88;2;0
165;34;128;57;3;1
4;34;198;26;3;1
154;28;113;152;2;1
166;34;41;51;3;0
41;6;53;99;2;1
241;34;76;35;3;0
54;34;165;185;3;1
144;34;107;55;3;0
38;49;75;173;2;0
157;68;125;95;2;0
120;34;49;23;3;0
66;11;38;131;2;0
59;19;188;153;2;0
112;34;24;101;0;0
152;11;228;129;2;0
54;34;165;185;3;1
119;43;240;119;2;0
74;34;68;14;3;1
63;73;133;103;2;0
180;67;4;81;2;0
164;34;190;158;3;1
54;34;165;185;3;1
167;19;96;176;2;0
40;16;242;179;2;1
213;34;200;166;3;0
154;28;113;152;2;1
206;34;135;157;3;0
146;65;39;110;2;0
18;9;109;109;2;1
76;34;62;29;3;0
14;34;99;158;4;0
171;34;211;36;3;1
178;34;112;30;3;0
158;34;222;89;0;0
124;34;6;1;3;0
116;53;52;152;2;1
45;60;199;96;2;1
223;57;23;119;2;1
200;34;51;178;3;0
43;34;21;18;3;0
221;34;69;38;3;0
227;30;97;87;2;0
36;34;182;71;3;0
208;34;189;163;3;0
91;54;136;94;2;1
89;34;144;106;3;0
33;5;221;139;2;0
7;34;45;34;3;0
182;69;84;91;1;1
130;9;46;109;2;1
192;34;16;158;4;1
185;76;234;72;2;0
147;34;0;40;3;0
56;34;243;32;3;0
203;11;175;129;2;0
26;34;40;66;3;0
150;34;209;53;3;0
192;34;16;158;4;1
45;60;199;96;2;1
173;34;29;37;3;1
205;34;168;43;3;0
62;11;206;86;2;0
11;74;114;85;2;0
102;48;66;152;2;0
181;68;131;100;2;1
